currency,code,value,length,width
Argentine Peso,ARS,2,155,65
Argentine Peso,ARS,5,155,65
Argentine Peso,ARS,10,155,65
Argentine Peso,ARS,20,155,65
Argentine Peso,ARS,50,155,65
Argentine Peso,ARS,100,155,65
Argentine Peso,ARS,200,155,65
Argentine Peso,ARS,500,155,65
Argentine Peso,ARS,1000,155,65
Argentine Peso,ARS,2000,155,65
Argentine Peso,ARS,10000,155,65
Australian Dollar,AUD,1,140,70
Australian Dollar,AUD,2,145,72.5
Australian Dollar,AUD,5,130,65
Australian Dollar,AUD,10,137,65
Australian Dollar,AUD,20,144,65
Australian Dollar,AUD,50,151,65
Australian Dollar,AUD,100,158,65
Bangladeshi Taka,BDT,2,100,60
Bangladeshi Taka,BDT,5,110,65
Bangladeshi Taka,BDT,10,115,65
Bangladeshi Taka,BDT,20,120,65
Bangladeshi Taka,BDT,50,131,65
Bangladeshi Taka,BDT,100,139,65
Bangladeshi Taka,BDT,200,139,65
Bangladeshi Taka,BDT,500,147,65
Bangladeshi Taka,BDT,1000,155,65
Bolivian Boliviano,BOB,10,140,70
Bolivian Boliviano,BOB,20,140,70
Bolivian Boliviano,BOB,50,140,70
Bolivian Boliviano,BOB,100,140,70
Bolivian Boliviano,BOB,200,140,70
Canadian Dollar,CAD,5,152.4,69.85
Canadian Dollar,CAD,10,152.4,69.85
Canadian Dollar,CAD,20,152.4,69.85
Canadian Dollar,CAD,50,152.4,69.85
Canadian Dollar,CAD,100,152.4,69.85
Cape Verdean Escudo,CVE,200,125,63
Cape Verdean Escudo,CVE,500,131,65
Cape Verdean Escudo,CVE,1000,133,66
Cape Verdean Escudo,CVE,2000,142,71
Cape Verdean Escudo,CVE,5000,148,74
Central African Franc,XAF,500,125,64
Central African Franc,XAF,1000,130,64
Central African Franc,XAF,2000,135,70
Central African Franc,XAF,5000,140,74
Central African Franc,XAF,10000,145,74
Chilean Peso,CLP,1000,120,70
Chilean Peso,CLP,2000,127,70
Chilean Peso,CLP,5000,134,70
Chilean Peso,CLP,10000,141,70
Chilean Peso,CLP,20000,148,70
Chinese Yuan,CNY,1,130,63
Chinese Yuan,CNY,5,135,63
Chinese Yuan,CNY,10,140,70
Chinese Yuan,CNY,20,145,70
Chinese Yuan,CNY,50,150,70
Chinese Yuan,CNY,100,155,77
Colombian Peso,COP,2000,128,66
Colombian Peso,COP,5000,133,66
Colombian Peso,COP,10000,138,66
Colombian Peso,COP,20000,143,66
Colombian Peso,COP,50000,148,66
Colombian Peso,COP,100000,153,66
